SITE,Z,Date,Zsec,PH,COND,ALK,OP,TFP,TP,CL,NO3,SO4,TN,NH4,SI,Na,Mg,Ca,K,Fe,CHLA,T,DO (mg/l),DO (sat),Zcomp (m)
S,10,4-Jun-2003,11.5,7.75,113.3,28.0,0.5,1.6,4.0,12.7,0.005,2.52,0.14,0.005,0.70,6.7,2.5,10.7,,,1.47,12.5,10.2,95.7%,24
S,10,18-Jun-2003,7.5,7.67,114.3,28.0,1.5,1.9,5.4,12.9,0.005,2.41,0.14,0.005,0.68,7.2,2.4,10.8,,,1.69,16.6,10.2,104.4%,24
S,10,17-Jul-2003,11.5,8.00,117.2,27.0,0.5,1.5,3.0,12.9,0.005,2.39,0.12,0.015,0.68,7.8,2.4,10.1,,,1.02,22.3,7.9,91.1%,24
S,10,15-Aug-2003,10.4,7.90,120.3,30.0,0.5,1.5,2.4,13.3,0.005,2.43,0.15,0.005,0.71,7.8,2.4,11.6,,,1.02,21.2,9.6,107.6%,22
S,10,11-Sep-2003,12.9,7.63,116.8,30.0,0.5,1.8,2.4,13.8,0.005,2.58,0.15,0.005,0.71,7.1,2.5,10.4,,,0.52,21.2,8.4,94.2%,21
S,10,9-Oct-2003,12.0,7.92,118.6,30.5,0.5,1.4,3.3,13.4,0.005,2.45,0.12,0.005,0.71,6.8,2.4,10.1,,,1.69,16.3,10.5,107.0%,22
S,10,23-Oct-2003,9.6,7.67,118.7,30.0,0.5,1.9,3.7,14.0,0.005,2.47,0.13,0.005,0.80,6.7,2.5,10.3,,,1.06,13.6,10.5,100.9%,22
S,10,12-Nov-2003,9.8,7.50,113.9,31.5,1.0,1.6,3.3,14.2,0.005,2.51,0.16,0.005,0.84,7.4,2.5,10.8,,,1.19,10.6,11.1,99.7%,18
S,10,18-Feb-2004,,7.54,133.6,32.0,1.2,2.7,3.9,13.3,0.005,2.35,0.16,0.005,1.03,7.4,2.3,11.9,0.51,,1.33,2.0,13.0,94.0%,
S,10,28-Apr-2004,10.2,7.71,121.2,31.0,1.3,3.0,4.7,13.4,0.015,2.33,0.13,0.005,1.01,6.4,2.3,11.5,0.47,,1.47,6.2,11.6,93.6%,
S,10,12-May-2004,10.0,7.65,116.3,30.0,1.3,1.4,4.1,12.6,0.011,2.16,0.12,0.005,0.91,6.9,2.4,11.9,0.49,,1.28,9.2,11.3,98.2%,
S,10,26-May-2004,9.2,7.68,116.5,30.0,2.1,1.6,2.4,12.7,0.005,2.07,0.14,0.005,0.88,7.3,2.4,11.7,0.50,,1.18,13.7,12.1,116.1%,
S,10,10-Jun-2004,9.7,7.50,121.0,30.0,2.7,2.0,2.8,14.1,0.010,2.23,0.10,0.005,0.70,7.5,2.4,11.6,0.50,,1.08,16.8,9.5,97.8%,
S,10,23-Jun-2004,9.0,7.74,123.2,29.0,0.5,1.7,3.0,14.5,0.005,2.39,0.13,0.005,0.62,7.4,2.4,12.8,0.50,,0.99,19.4,8.7,94.5%,
S,10,20-Jul-2004,11.0,7.46,128.0,30.0,1.3,1.6,3.5,13.0,0.005,2.24,0.11,0.005,0.55,7.6,2.4,12.3,0.50,,0.82,20.2,9.8,107.8%,
S,10,24-Aug-2004,10.4,7.65,121.2,30.0,1.4,1.3,3.2,14.1,0.005,2.29,0.14,0.005,0.54,7.6,2.4,11.4,0.51,,0.79,21.9,8.9,101.3%,
S,10,21-Sep-2004,10.6,7.53,123.3,30.0,2.1,1.3,4.2,13.6,0.005,2.18,0.14,0.005,0.67,7.7,2.4,11.8,0.53,,1.00,19.0,9.1,98.1%,
S,10,21-Oct-2004,10.4,7.48,121.4,30.0,0.5,1.5,4.1,14.5,0.005,2.36,0.13,0.005,0.78,7.9,2.4,11.6,0.51,,1.47,14.8,9.6,94.3%,
S,10,3-Nov-2004,10.0,7.52,121.7,30.0,1.1,1.7,4.9,13.8,0.005,2.37,0.14,0.005,0.79,7.9,2.4,11.5,0.52,,1.46,13.2,10.8,102.9%,
S,10,16-Nov-2004,9.2,7.41,119.8,30.0,0.5,1.5,3.7,13.5,0.005,2.29,0.13,0.005,0.86,8.0,2.4,12.5,0.51,,1.34,10.0,10.8,95.7%,
S,10,16-Feb-2005,,7.23,93.9,29.0,1.3,2.6,5.9,15.0,0.005,2.39,0.13,0.005,1.15,8.1,2.5,12.2,0.58,,2.13,1.6,12.2,88.2%,14
S,10,27-Apr-2005,8.6,7.41,120.7,31.0,1.3,1.8,5.4,14.3,0.015,2.29,0.12,0.005,1.11,7.1,2.4,11.7,0.53,,1.80,5.6,12.2,97.0%,21
S,10,11-May-2005,9.0,7.62,121.6,30.0,1.1,1.9,4.1,14.4,0.005,2.34,0.09,0.005,1.10,7.2,2.4,12.8,0.54,,1.49,8.5,12.5,106.8%,20
S,10,23-May-2005,8.0,7.56,121.0,30.5,1.0,1.7,4.1,14.6,0.005,2.31,0.08,0.005,0.97,7.2,2.4,12.7,0.54,,1.62,9.4,12.0,104.8%,23
S,10,8-Jun-2005,7.1,7.68,122.7,30.0,3.0,1.7,4.0,14.8,0.005,2.33,0.11,0.005,1.01,7.7,2.5,12.9,0.54,,1.18,15.3,11.0,109.8%,20
S,10,20-Jun-2005,7.0,7.70,117.4,29.0,2.1,1.6,1.9,14.4,0.005,2.33,0.11,0.005,0.90,8.4,2.4,12.0,0.58,,1.32,13.3,11.2,107.0%,18
S,10,22-Jul-2005,8.5,7.43,120.4,30.0,0.5,1.7,2.0,14.5,0.005,2.23,0.11,0.005,0.82,8.5,2.4,12.1,0.51,,1.04,22.4,9.5,109.5%,20
S,10,18-Aug-2005,8.5,7.66,132.3,31.0,1.7,0.5,3.2,14.2,0.005,2.30,0.12,0.005,0.77,8.7,2.3,12.4,0.55,,0.88,19.5,10.0,108.9%,19
S,10,14-Sep-2005,10.2,7.70,126.7,30.5,1.2,1.2,2.8,15.6,0.005,2.26,0.14,0.005,0.81,8.2,2.5,11.9,0.58,,0.82,22.1,8.2,94.0%,18
S,10,12-Oct-2005,11.0,7.60,125.0,30.5,1.1,1.2,3.7,14.9,0.005,2.17,0.11,0.005,0.87,8.3,2.6,12.0,0.54,,1.34,16.7,9.1,93.5%,20
S,10,26-Oct-2005,9.2,7.56,124.4,30.0,0.5,1.5,4.2,14.2,0.005,2.09,0.12,0.005,0.94,8.2,2.5,12.3,0.53,,1.61,13.1,10.2,97.0%,19
S,10,7-Nov-2005,9.3,7.66,127.0,31.0,0.5,1.3,3.2,14.4,0.005,2.35,0.14,0.005,0.99,8.0,2.5,12.2,0.53,,1.89,12.0,11.1,103.0%,19
S,10,9-Mar-2006,,7.72,125.6,30.5,1.7,2.0,5.8,14.4,0.005,2.13,0.16,0.005,0.97,8.2,2.3,12.4,0.50,,2.52,1.6,14.7,105.1%,20
S,10,12-Apr-2006,8.2,7.50,121.9,30.0,1.7,1.7,4.2,13.9,0.014,2.14,0.13,0.005,0.95,8.4,2.3,12.0,0.52,,1.76,3.8,14.7,111.5%,20
S,10,27-Apr-2006,8.9,7.57,125.0,29.0,1.2,1.9,4.7,12.7,0.005,2.10,0.17,0.005,0.87,8.3,2.3,11.6,0.51,,2.29,6.1,13.4,107.9%,18
S,10,10-May-2006,6.5,7.64,121.1,30.0,0.5,1.9,6.6,13.8,0.005,2.11,0.15,0.005,0.87,8.2,2.3,11.8,0.52,,2.12,8.5,12.9,110.3%,18
S,10,23-May-2006,7.8,7.62,120.2,29.5,1.1,1.6,3.2,13.5,0.005,2.12,0.19,0.005,0.90,8.2,2.1,11.7,0.55,,1.45,10.3,12.0,107.0%,19
S,10,6-Jun-2006,10.5,7.61,111.0,30.0,0.5,1.9,4.2,13.3,0.005,2.09,0.12,0.005,0.82,8.1,2.1,12.0,0.52,,1.29,13.5,10.8,103.6%,20
S,10,20-Jun-2006,9.0,7.65,116.4,29.5,0.5,1.2,3.7,14.6,0.023,2.10,0.08,0.005,0.73,8.3,2.1,11.2,0.54,,1.09,17.4,11.5,119.9%,20
S,10,19-Jul-2006,8.0,7.56,114.0,30.0,1.3,1.8,3.0,14.1,0.005,2.08,0.10,0.005,0.65,7.9,2.1,10.3,0.50,,1.30,19.1,8.9,95.9%,19
S,10,17-Aug-2006,13.0,7.75,118.7,31.0,2.1,1.7,2.8,14.6,0.010,2.11,0.13,0.005,0.66,7.8,2.1,10.8,0.49,,0.80,23.0,8.0,93.2%,21
S,10,14-Sep-2006,7.3,7.70,120.1,31.0,1.0,1.6,3.3,13.0,0.005,1.98,0.12,0.005,0.77,8.2,2.2,11.6,0.49,,1.23,19.2,9.2,99.4%,19
S,10,10-Oct-2006,7.9,7.50,122.5,30.5,1.1,1.5,3.4,14.6,0.005,1.99,0.13,0.005,0.86,8.4,2.2,12.5,0.48,,1.17,16.2,9.0,91.6%,20
S,10,24-Oct-2006,8.0,7.71,124.3,31.0,0.5,1.6,3.9,14.4,0.005,2.05,0.13,0.005,0.93,8.2,2.3,11.3,0.49,,1.52,13.3,9.8,93.6%,13
S,10,9-Nov-2006,9.0,7.54,122.2,30.0,1.0,1.7,3.8,14.3,0.005,2.06,0.11,0.005,0.90,8.3,2.1,11.8,0.48,,1.89,11.1,10.7,97.2%,10
S,10,14-Mar-2007,,7.67,126.3,31.0,0.5,2.1,4.0,14.2,0.011,2.11,0.14,0.005,1.01,8.1,2.3,13.0,0.52,,1.39,1.7,15.4,110.4%,19
S,10,2-May-2007,9.4,7.88,123.7,32.0,1.8,3.9,5.2,14.1,0.017,2.08,0.15,0.005,0.98,8.4,1.9,12.1,0.50,,1.57,5.0,12.7,99.5%,20
S,10,15-May-2007,8.5,7.67,123.0,30.0,2.1,1.7,3.9,14.0,0.005,2.06,0.13,0.005,0.93,8.3,2.2,11.7,0.45,,1.83,8.6,11.6,99.4%,22
S,10,29-May-2007,13.5,7.73,121.0,29.5,1.2,1.5,4.0,13.4,0.012,2.07,0.14,0.005,0.82,8.3,2.3,13.1,0.46,,1.11,13.0,10.6,100.6%,21
S,10,14-Jun-2007,9.8,7.65,121.4,30.5,1.8,1.7,3.1,13.5,0.005,2.02,0.11,0.005,0.77,8.3,2.3,13.1,0.46,,1.34,13.3,10.4,99.3%,21
S,10,9-Jul-2007,9.8,7.70,120.3,30.0,0.5,1.1,2.4,14.0,0.005,2.00,0.16,0.005,0.74,8.4,2.3,12.6,0.46,,1.13,21.0,8.8,94.8%,23
S,10,7-Aug-2007,8.8,7.76,119.6,29.0,0.5,0.5,2.1,13.7,0.005,2.01,0.12,0.005,0.75,8.4,2.2,12.2,0.47,,0.91,24.5,8.2,98.3%,25
S,10,6-Sep-2007,8.6,7.84,123.4,31.0,0.5,1.4,2.6,13.8,0.005,2.10,0.14,0.005,0.79,8.8,2.1,13.6,0.47,,0.65,20.7,8.5,94.7%,20
S,10,4-Oct-2007,12.5,7.85,121.9,31.0,1.0,1.3,2.8,13.5,0.005,2.06,0.06,0.005,0.84,8.8,2.1,12.9,0.47,,0.75,19.5,9.4,102.3%,19
S,10,31-Oct-2007,8.4,7.76,124.0,30.5,1.3,2.4,4.9,14.7,0.005,2.10,0.11,0.005,0.90,8.0,2.1,13.3,0.46,,1.06,14.9,9.4,93.0%,18
S,10,13-Nov-2007,10.2,7.78,121.0,31.0,1.0,1.6,2.7,15.0,0.005,2.10,0.10,0.005,0.97,8.0,2.1,13.6,0.47,,1.26,11.7,10.2,94.0%,18
S,10,11-Mar-2008,,7.50,114.5,30.0,0.5,1.8,3.6,14.2,0.011,2.10,0.14,0.005,1.05,7.9,2.3,12.7,0.49,,1.40,1.3,15.5,109.0%,17
S,10,22-Apr-2008,8.3,7.69,110.5,29.0,1.0,1.7,3.3,13.6,0.005,2.04,0.11,0.005,1.04,8.4,2.2,11.9,0.48,,1.33,8.6,11.8,101.1%,22
S,10,6-May-2008,8.8,7.48,114.7,28.0,1.1,1.6,5.3,13.1,0.005,1.99,0.12,0.005,1.05,8.4,2.3,12.2,0.47,,1.89,10.3,11.3,100.8%,21
S,10,21-May-2008,7.4,7.72,112.8,29.0,0.5,1.6,3.4,13.9,0.005,1.95,0.13,0.005,0.98,8.3,2.4,11.3,0.51,,1.95,11.1,11.4,103.6%,20
S,10,3-Jun-2008,7.0,7.59,115.5,30.0,1.3,1.9,3.4,14.1,0.005,1.99,0.12,0.005,0.97,8.5,2.3,11.5,0.55,,0.81,14.7,10.5,103.5%,21
S,10,17-Jun-2008,8.5,7.49,113.4,29.0,1.1,1.6,4.4,14.1,0.012,1.99,0.14,0.005,1.04,8.2,2.3,12.6,0.49,,1.29,20.1,9.3,102.5%,22
S,10,16-Jul-2008,9.5,7.56,112.7,29.0,1.2,1.5,3.1,14.4,0.005,1.95,0.11,0.005,0.67,8.4,2.4,12.3,0.48,,1.14,24.3,8.4,100.3%,20
S,10,13-Aug-2008,9.9,7.44,111.8,29.0,0.5,1.3,2.7,14.4,0.005,2.04,0.14,0.005,0.70,8.3,2.4,12.3,0.49,,1.04,23.1,8.6,100.4%,19
S,10,11-Sep-2008,14.0,7.78,115.8,30.5,1.0,1.5,2.6,14.2,0.005,1.93,0.13,0.005,0.65,8.1,2.5,12.1,0.47,,0.81,21.2,8.9,100.2%,18
S,10,8-Oct-2008,10.6,7.73,117.8,29.5,0.5,1.6,2.7,14.6,0.005,2.16,0.13,0.005,0.72,8.2,2.4,12.4,0.49,,1.09,16.1,9.9,100.5%,20
S,10,23-Oct-2008,11.0,7.68,117.5,30.0,0.5,1.8,2.5,14.3,0.005,1.98,0.12,0.005,0.75,8.3,2.5,12.6,0.48,,1.00,12.8,10.7,101.1%,21
S,10,5-Nov-2008,9.6,7.64,115.6,30.0,0.5,2.1,3.1,14.1,0.005,1.88,0.12,0.005,0.85,8.2,2.4,12.5,0.51,,1.48,11.5,10.3,94.0%,19
S,10,24-Feb-2009,,7.43,120.9,30.0,1.8,2.5,4.1,14.5,0.005,1.89,0.18,0.005,1.03,8.0,2.3,12.4,0.55,,1.71,0.9,14.5,101.7%,
S,10,22-Apr-2009,9.9,7.67,117.3,30.0,1.0,2.0,4.3,15.1,0.005,1.97,0.13,0.005,0.96,7.8,2.4,11.0,0.50,,1.53,7.1,12.3,101.6%,22
S,10,6-May-2009,10.5,7.89,118.9,30.0,1.2,1.8,2.9,14.2,0.005,2.14,0.13,0.005,0.87,7.8,2.3,11.7,0.50,,1.93,9.5,11.4,99.8%,26
S,10,20-May-2009,9.0,7.87,119.5,30.0,1.2,1.5,4.0,15.2,0.005,1.95,0.15,0.005,0.92,8.6,2.4,11.6,0.50,,1.86,12.8,10.7,101.1%,23
S,10,2-Jun-2009,7.1,7.91,120.8,30.5,0.5,1.4,2.9,15.5,0.005,1.93,0.15,0.005,0.87,8.6,2.3,11.6,0.50,,2.87,14.0,10.8,104.8%,21
S,10,16-Jun-2009,10.1,7.80,121.4,30.0,1.1,1.6,2.7,14.8,0.005,2.10,0.11,0.005,0.84,8.6,2.2,11.6,0.49,,0.93,18.2,9.3,98.6%,22
S,10,1-Jul-2009,10.5,7.84,123.2,30.0,0.5,2.4,3.7,14.8,0.005,1.96,0.11,0.005,0.92,48.5,2.3,11.7,0.49,,1.56,20.4,9.3,103.1%,22
S,10,28-Jul-2009,11.0,7.75,122.4,29.0,1.0,1.5,2.4,14.9,0.005,2.00,0.12,0.005,0.80,9.2,2.4,11.9,0.50,,0.76,24.6,8.5,102.2%,22
S,10,25-Aug-2009,12.0,7.80,120.0,31.0,0.5,1.4,2.7,15.0,0.005,1.77,0.09,0.005,0.86,8.7,2.5,11.8,0.46,,0.71,24.9,8.0,96.7%,21
S,10,22-Sep-2009,10.8,7.86,121.3,31.0,0.5,1.2,5.1,15.0,0.005,1.93,0.10,0.005,0.84,8.7,2.6,12.1,0.46,,0.72,19.8,8.5,93.1%,24
S,10,22-Oct-2009,9.0,7.71,119.8,31.0,0.5,2.1,4.4,15.4,0.005,1.91,0.15,0.005,0.88,8.5,2.6,11.9,0.49,,1.72,12.8,10.5,99.2%,23
S,10,4-Nov-2009,10.0,7.65,122.0,32.0,0.5,1.8,3.9,15.0,0.005,1.75,0.10,0.005,1.02,8.5,2.6,11.7,0.50,,1.69,11.9,10.9,100.9%,20
S,25,15-Apr-1980,,,91.7,,0.5,,,5.2,0.050,3.80,,0.005,,3.3,2.2,4.9,0.54,,,,,,
S,25,30-Apr-1980,,7.37,94.1,,0.5,,,5.3,0.050,3.70,,0.010,,3.4,2.2,5.0,0.57,,,,,,
S,25,19-May-1980,,7.70,115.0,,0.5,5.0,7.0,5.3,0.030,3.70,,0.005,,3.5,2.2,5.5,0.51,,,,,,
S,25,3-Jun-1980,,7.30,91.9,,0.5,,,5.3,0.020,3.65,,0.005,,3.5,2.2,6.8,0.51,,,,,,
S,25,17-Jun-1980,,7.39,98.8,,,,,5.7,0.010,3.80,,0.010,,3.4,2.3,8.1,0.60,,,6.9,10.0,82.5%,
S,25,1-Jul-1980,,7.21,91.9,,,2.0,5.0,6.5,0.005,3.74,,,,3.4,2.2,8.2,,,,7.0,,,
S,25,16-Jul-1980,,,,,,,,,,,,,,,,,,,,7.8,10.8,91.0%,
S,25,23-Jul-1980,,7.25,99.7,,,3.0,5.0,5.7,0.005,3.68,,0.005,,3.3,,7.6,,,,7.7,10.9,91.6%,
S,25,5-Aug-1980,,7.35,94.1,,,2.0,4.0,5.5,,3.84,,0.005,,3.3,,7.8,,,,,,,
S,25,19-Aug-1980,,7.26,98.1,,,3.0,5.0,6.6,0.010,3.50,,0.005,,3.5,,7.8,,,,8.0,10.2,86.3%,
S,25,3-Sep-1980,,7.29,97.9,,,3.0,5.0,5.5,0.010,3.18,,0.005,,3.4,,8.2,,,,,,,
S,25,23-Sep-1980,,6.91,96.2,,,2.0,5.0,6.9,0.010,3.96,,0.010,,3.4,,8.0,,,,9.0,9.0,78.0%,
S,25,3-Apr-1981,,7.42,99.1,,1.0,2.0,4.0,5.6,0.030,,,0.010,1.30,3.3,,10.0,0.58,,,3.5,11.2,85.3%,
S,25,22-Apr-1981,,7.55,101.7,,1.0,,5.0,5.7,0.020,,,0.005,1.28,3.4,,10.4,,,,4.9,12.4,97.6%,
S,25,6-May-1981,,7.31,103.7,,1.0,2.0,5.0,5.9,,,,0.005,1.43,3.3,,10.5,,,,5.2,12.3,97.5%,
S,25,20-May-1981,,7.51,105.9,,0.5,1.0,4.0,5.5,0.010,,,0.005,1.27,3.3,,10.5,0.53,,,7.3,12.1,100.7%,
S,25,3-Jun-1981,,,,,,,,,,,,,,,,,,,,7.6,10.6,88.9%,
S,25,25-Jun-1981,,7.20,92.4,,0.5,1.0,4.0,5.6,0.020,,,0.020,1.34,,,11.7,,,,11.2,10.6,96.7%,
S,25,13-Jul-1981,,7.31,92.0,,1.0,1.0,11.0,5.4,0.020,,,0.010,1.18,,,10.6,0.54,,,8.8,9.8,84.5%,
S,25,4-Aug-1981,,7.21,88.1,,0.5,2.0,4.0,,0.010,,,0.005,,,,,,,,9.0,9.8,84.9%,
S,25,25-Aug-1981,,7.36,93.4,,1.0,2.0,12.0,5.9,0.005,,,0.010,1.07,,,,,,,,,,
S,25,15-Sep-1981,,7.12,89.8,,0.5,2.0,5.0,6.0,0.010,,,0.005,1.40,,,,,,,10.0,5.7,50.6%,
S,25,1-Oct-1981,,7.15,87.0,,1.0,2.0,4.0,5.8,0.040,,,0.005,1.55,,,,,,,10.0,8.7,77.2%,
S,25,14-Oct-1981,,7.18,86.8,,1.0,2.0,14.0,5.6,0.005,,,0.005,1.50,,,,,,,10.0,7.9,70.1%,
S,25,3-Nov-1981,,7.50,90.8,,,1.0,3.0,6.1,0.005,,,0.005,1.16,,,,,,,10.5,10.2,91.5%,
S,25,16-Mar-1982,,7.43,93.5,,0.5,1.0,4.0,5.6,0.030,,,0.020,1.50,3.4,,12.4,,,,,8.1,,
S,25,23-Apr-1982,,7.45,99.0,,0.5,3.0,8.0,6.1,0.030,,,0.010,1.40,3.3,,12.3,,,,3.0,12.9,97.0%,
S,25,11-May-1982,,7.40,95.0,,0.5,1.0,,5.8,0.020,,,0.005,1.30,3.4,,12.0,,,,,,,
S,25,26-May-1982,,7.60,90.7,,0.5,1.0,4.0,,0.020,,,0.010,1.40,3.7,,12.1,,,,,,,
S,25,9-Jun-1982,,7.25,91.5,,0.5,2.0,4.0,5.8,0.040,,,0.020,1.50,3.4,,11.7,,,,6.0,12.0,96.9%,
S,25,24-Jun-1982,,7.00,102.4,,,,5.0,6.1,,,,,1.05,2.9,,11.1,,,,7.0,11.8,97.5%,
S,25,14-Jul-1982,,7.30,104.4,,,,,5.8,0.020,,,0.005,1.40,3.6,,11.6,,,,9.0,12.4,107.4%,
S,25,4-Aug-1982,,7.15,105.0,,0.5,7.0,9.0,6.9,0.005,,,0.005,1.42,,,11.7,,,,8.0,10.6,89.7%,
S,25,25-Aug-1982,,7.11,85.2,,0.5,3.0,6.0,6.5,0.030,,,0.005,1.07,3.5,,11.6,,,,8.5,9.8,83.9%,
S,25,17-Sep-1982,,6.98,72.1,,0.5,5.0,7.0,6.6,0.050,,,0.040,1.05,3.5,,11.9,,,,8.0,9.3,78.7%,
S,25,13-Oct-1982,,7.22,96.2,,0.5,6.0,9.0,5.7,0.030,,,0.005,1.56,3.5,,11.7,,,,,,,
S,25,9-Nov-1982,,7.05,92.9,,0.5,,,5.9,0.010,,,0.005,1.35,3.6,,14.1,,,,10.5,9.2,82.6%,
S,25,12-Apr-1983,,7.40,93.6,,0.5,3.0,6.0,6.1,0.010,,,0.005,1.50,3.9,,,,,,3.0,13.2,99.3%,
S,25,26-Apr-1983,,7.48,105.2,,1.0,4.0,5.0,5.9,0.010,,,0.005,1.65,,,,,,,4.0,12.6,97.0%,
S,25,13-May-1983,,,,,,,,,,,,,,,,,,,,,,,
S,25,3-Jun-1983,,7.26,96.1,,,4.0,5.0,6.5,0.020,,,0.030,1.50,3.6,,,,,,6.5,12.6,102.9%,
S,25,15-Jun-1983,,7.52,102.5,,0.5,3.0,5.0,6.1,0.010,,,0.030,1.35,3.7,,,,,,7.0,12.4,102.5%,
S,25,8-Jul-1983,,7.00,99.2,,0.5,,,6.3,0.020,,,0.050,1.55,3.7,,,,,,7.5,10.2,85.3%,
S,25,27-Jul-1983,,7.21,102.0,,2.0,,6.0,10.4,0.020,,,0.010,1.50,3.7,,,,,,8.5,11.6,99.3%,
S,25,17-Aug-1983,,7.25,91.8,,2.0,4.0,6.0,6.0,0.005,,,0.010,1.25,3.8,,,,,,9.0,12.8,110.9%,
S,25,15-Sep-1983,,7.13,93.1,,,4.0,6.0,5.9,0.005,,,0.005,1.45,3.0,,,,,,,,,
S,25,6-Oct-1983,,7.06,100.3,,0.5,2.0,3.0,6.3,0.005,,,0.020,1.60,3.7,,,,,,,,,
S,25,2-Nov-1983,,7.19,100.4,,,6.0,8.0,5.9,0.010,,,0.005,,3.7,,,,,,10.0,8.8,78.1%,
S,25,6-Mar-1984,,7.43,,,,4.0,5.0,,0.050,,,0.010,,,,,,,,3.0,13.6,102.3%,
S,25,17-Apr-1984,,7.35,101.9,,3.0,2.0,5.0,6.1,0.040,,,0.005,0.80,,,11.6,,,,3.0,13.4,99.6%,
S,25,2-May-1984,,7.30,90.5,,2.0,3.0,4.0,6.0,0.040,,,0.005,0.80,,,11.6,,,,7.0,9.9,81.5%,
S,25,16-May-1984,,7.28,92.7,,2.0,2.0,5.0,5.9,0.010,,,0.005,0.94,,,11.8,,,,7.0,10.3,85.1%,
S,25,31-May-1984,,7.25,101.4,,1.0,4.0,4.0,6.1,0.010,,,0.005,,,,,,,,7.5,11.0,91.7%,
S,25,14-Jun-1984,,7.31,94.3,,2.0,6.0,7.0,6.2,0.020,,,0.010,0.88,,,11.6,,,,11.2,7.0,63.8%,
S,25,6-Jul-1984,,7.34,95.8,,2.0,6.0,8.0,6.3,0.005,,,0.005,0.80,,,11.2,,,,8.5,10.4,88.9%,
S,25,26-Jul-1984,,7.16,98.2,,0.5,4.0,7.0,6.1,0.080,,,0.005,0.92,,,11.3,,,,8.0,10.2,86.1%,
S,25,15-Aug-1984,,7.13,106.7,,2.0,4.0,8.0,6.0,0.005,,,0.005,,,,,,,,9.5,10.2,89.3%,
S,25,5-Sep-1984,,7.11,102.6,,0.5,6.0,9.0,6.4,0.005,,,0.005,0.90,,,11.8,,,,9.5,8.6,75.3%,
S,25,25-Sep-1984,,7.00,102.6,,0.5,4.0,6.0,6.3,0.005,,,0.005,0.95,,,11.4,,,,9.0,8.5,73.5%,
S,25,16-Oct-1984,,,,,,,,,,,,,,,,,,,,9.7,8.9,78.3%,
S,25,7-Nov-1984,,7.21,96.7,,0.5,1.0,4.0,6.5,0.005,,,0.005,,,,,,,,12.0,9.2,85.3%,
S,25,10-Apr-1985,,7.42,94.1,,,,4.0,6.3,0.005,,,0.010,0.97,,,10.5,,,,4.0,9.0,68.6%,
S,25,8-May-1985,,7.38,95.9,,,,4.0,7.0,0.030,,,0.005,0.98,,,10.4,,,,6.0,11.2,90.0%,
S,25,22-May-1985,,7.45,99.0,,,1.0,3.0,6.3,0.005,,,0.005,0.91,,,10.1,,,,7.5,12.0,100.1%,
S,25,5-Jun-1985,,7.45,,,,7.0,8.0,6.4,0.005,,,0.005,0.97,,,12.1,,,,8.5,10.9,93.2%,
S,25,18-Jun-1985,,7.30,115.0,,1.0,2.0,3.0,6.4,0.005,,,0.005,1.04,,,11.6,,,,8.0,10.9,92.1%,
S,25,2-Jul-1985,,7.35,94.5,,0.5,2.0,4.0,6.6,0.040,,,0.020,0.98,,,,,,,9.0,10.2,88.2%,
S,25,25-Jul-1985,,7.24,,,1.0,3.0,5.0,6.3,0.005,,,0.005,1.02,,,10.9,,,,10.0,10.2,90.3%,
S,25,15-Aug-1985,,7.32,110.8,,0.5,,7.0,6.5,0.005,,,0.005,0.92,,,11.9,,,,11.0,9.8,88.8%,
S,25,12-Sep-1985,,7.09,,,,6.0,6.0,6.5,0.005,,,0.005,1.00,,,10.5,,,,10.0,9.0,79.7%,
S,25,1-Oct-1985,,7.17,,,,6.0,9.0,6.7,0.010,,,0.005,0.98,,,11.8,,,,12.0,8.1,75.1%,
S,25,16-Oct-1985,,7.00,,,,,6.0,6.4,0.005,,,0.005,1.16,,,,,,,10.5,7.6,68.1%,
S,25,8-Nov-1985,,7.40,105.6,,,,4.0,6.6,0.010,,,0.005,0.94,,,12.0,,,,12.2,9.6,89.5%,
S,25,20-Mar-1986,,7.15,98.0,,,3.0,5.0,7.0,0.005,,,0.005,1.11,4.1,,12.1,,0.025,,2.0,14.2,102.7%,
S,25,17-Apr-1986,,7.54,97.0,,,4.0,5.0,7.0,0.005,,,0.005,1.14,4.0,,11.7,,0.025,,4.0,12.2,93.1%,
S,25,30-Apr-1986,,7.51,102.0,,,5.0,5.0,6.7,0.005,,,0.005,1.14,3.8,,12.4,,0.025,,4.5,12.0,92.7%,
S,25,15-May-1986,,7.51,101.0,,,3.0,3.0,6.7,0.020,,,0.005,1.20,3.9,,12.2,,0.025,,5.0,10.8,84.6%,
S,25,29-May-1986,,7.63,91.0,,0.5,4.0,4.0,6.8,0.005,,,0.005,0.99,3.9,,11.6,,0.220,,7.5,11.6,96.7%,
S,25,12-Jun-1986,,7.27,85.0,,0.5,2.0,4.0,6.7,0.010,,,0.010,1.06,4.0,,11.8,,0.025,,9.5,10.5,91.9%,
S,25,26-Jun-1986,,7.38,98.0,,0.5,,5.0,7.0,0.020,,,0.010,1.03,,,12.4,,,,8.0,11.3,95.4%,
S,25,16-Jul-1986,,7.50,99.0,,0.5,,7.0,7.3,0.030,,,0.005,0.97,,,13.3,,,,8.0,10.8,91.2%,
S,25,7-Aug-1986,,7.39,103.0,,0.5,2.0,4.0,6.6,0.005,,,0.005,1.05,,,12.1,,,,8.0,10.4,87.8%,
